Movie_Title,Year,Rating,Runtime(Mins),main_genre,side_genre,text_data,cluster_id
The Immigrant,2013,6.6,120,Drama, Romance,Drama  Romance,13
Anna Karenina,2012,6.6,129,Drama, Romance,Drama  Romance,13
Arbitrage,2012,6.6,107,Drama, Thriller,Drama  Thriller,54
Like Crazy,2011,6.6,86,Drama, Romance,Drama  Romance,13
Safe Haven,2013,6.6,115,Drama," Romance,  Thriller","Drama  Romance,  Thriller",136
Elysium,2013,6.6,109,Action," Drama,  Sci-Fi","Action  Drama,  Sci-Fi",68
The Odd Life of Timothy Green,2012,6.6,105,Comedy," Drama,  Family","Comedy  Drama,  Family",58
Celeste & Jesse Forever,2012,6.6,92,Comedy," Drama,  Romance","Comedy  Drama,  Romance",1
This Is Where I Leave You,2014,6.6,103,Comedy, Drama,Comedy  Drama,10
The Beaver,2011,6.6,91,Drama,Drama,Drama Drama,11
Malcolm & Marie,2021,6.6,106,Drama, Romance,Drama  Romance,13
Last Vegas,2013,6.6,105,Comedy, Drama,Comedy  Drama,10
Titane,2021,6.6,108,Drama," Horror,  Sci-Fi","Drama  Horror,  Sci-Fi",64
Nick and Norah's Infinite Playlist,2008,6.6,90,Comedy," Drama,  Music","Comedy  Drama,  Music",34
My Blueberry Nights,2007,6.6,95,Drama, Romance,Drama  Romance,13
Chaos Theory,2007,6.6,87,Comedy," Drama,  Romance","Comedy  Drama,  Romance",1
Take the Lead,2006,6.6,118,Drama, Music,Drama  Music,82
Dreamgirls,2006,6.6,130,Drama," Music,  Musical","Drama  Music,  Musical",178
A Lot Like Love,2005,6.6,107,Comedy," Drama,  Romance","Comedy  Drama,  Romance",1
The Weather Man,2005,6.6,102,Comedy, Drama,Comedy  Drama,10
The Lovely Bones,2009,6.6,135,Drama," Fantasy,  Thriller","Drama  Fantasy,  Thriller",164
May,2002,6.6,93,Comedy," Drama,  Horror","Comedy  Drama,  Horror",10
The Rules of Attraction,2002,6.6,110,Comedy," Drama,  Romance","Comedy  Drama,  Romance",1
My Big Fat Greek Wedding,2002,6.6,95,Comedy," Drama,  Romance","Comedy  Drama,  Romance",1
The Beach,2000,6.6,119,Adventure," Drama,  Romance","Adventure  Drama,  Romance",126
For Love of the Game,1999,6.6,137,Drama," Romance,  Sport","Drama  Romance,  Sport",13
The Parent Trap,1998,6.6,128,Adventure," Comedy,  Drama","Adventure  Comedy,  Drama",75
A Civil Action,1998,6.6,115,Drama,Drama,Drama Drama,11
Gummo,1997,6.6,89,Comedy, Drama,Comedy  Drama,10
Emma,1996,6.6,120,Comedy," Drama,  Romance","Comedy  Drama,  Romance",1
